   12
   -0.9200   40
  225.000000    0.700449    0.059329
  255.000000    0.518165    0.048439
  285.000000    0.535894    0.039399
  315.000000    0.515334    0.068230
  345.000000    0.584360    0.070806
  375.000000    0.551249    0.095190
  405.000000    0.421423    0.051382
  435.000000    0.502240    0.061899
  465.000000    0.236099    0.099447
  495.000000    0.304604    0.075461
  525.000000    0.209960    0.068486
  555.000000    0.505480    0.051310
  585.000000    0.685519    0.065563
  615.000000    0.620832    0.059760
  645.000000    0.849236    0.050331
  675.000000    0.866289    0.023443
  705.000000    0.805625    0.021039
  735.000000    0.724500    0.040490
  765.000000    0.613282    0.050940
  795.000000    0.506498    0.053350
  825.000000    0.465282    0.093360
  855.000000    0.348760    0.088629
  885.000000    0.261465    0.097806
  915.000000    0.195131    0.041864
  945.000000    0.169928    0.165590
  975.000000    0.043140    0.089320
 1005.000000    0.034228    0.180055
 1035.000000    0.144217    0.193259
 1065.000000    0.260017    0.192163
 1095.000000    0.416735    0.253179
 1125.000000    0.398056    0.167872
 1155.000000    0.365119    0.260270
 1185.000000    0.352349    0.328736
 1215.000000    0.294028    0.158688
 1245.000000    0.502659    0.202009
 1275.000000    0.265854    0.305089
 1305.000000    0.362577    0.201081
 1335.000000    0.098088    0.316060
 1365.000000   -0.062682    0.273897
 1395.000000    0.307607    0.157981
   -0.7500   40
  225.000000    0.464106    0.055964
  255.000000    0.127578    0.040449
  285.000000    0.006479    0.069884
  315.000000    0.002707    0.085702
  345.000000   -0.045618    0.098098
  375.000000   -0.127632    0.066526
  405.000000   -0.159948    0.060334
  435.000000   -0.214134    0.015127
  465.000000   -0.316164    0.057558
  495.000000   -0.252187    0.077495
  525.000000   -0.267521    0.015470
  555.000000    0.071638    0.035251
  585.000000    0.334991    0.025669
  615.000000    0.479676    0.038954
  645.000000    0.599512    0.080973
  675.000000    0.623896    0.091358
  705.000000    0.553618    0.043210
  735.000000    0.468081    0.076122
  765.000000    0.285128    0.048793
  795.000000    0.247202    0.049175
  825.000000    0.189521    0.098328
  855.000000    0.002098    0.075630
  885.000000   -0.174374    0.095420
  915.000000   -0.246705    0.033642
  945.000000   -0.452002    0.035880
  975.000000   -0.471282    0.091490
 1005.000000   -0.473676    0.155099
 1035.000000   -0.525132    0.076252
 1065.000000   -0.369196    0.089529
 1095.000000   -0.370328    0.109967
 1125.000000   -0.166819    0.051078
 1155.000000   -0.139095    0.181530
 1185.000000   -0.304579    0.113277
 1215.000000   -0.364420    0.178746
 1245.000000   -0.208811    0.161945
 1275.000000   -0.196804    0.194659
 1305.000000   -0.089328    0.216510
 1335.000000   -0.239026    0.271160
 1365.000000   -0.144475    0.203701
 1395.000000   -0.175963    0.268723
   -0.5800   40
  225.000000    0.098863    0.393023
  255.000000   -0.256804    0.045539
  285.000000   -0.403950    0.019615
  315.000000   -0.431438    0.016328
  345.000000   -0.399711    0.022421
  375.000000   -0.505384    0.024138
  405.000000   -0.467248    0.030533
  435.000000   -0.462681    0.034121
  465.000000   -0.462473    0.051559
  495.000000   -0.429527    0.053080
  525.000000   -0.382494    0.099787
  555.000000   -0.099280    0.050147
  585.000000    0.136152    0.073807
  615.000000    0.299648    0.021434
